Card Name,Page in my Book,Copyright Yr,Edition
Carrion Ants,1,1995,4th Edition
Winter Orb,1,1995,4th Edition
Lifelace,1,1995,4th Edition
Web,1,1995,4th Edition
Segovian Leviathan,1,1995,4th Edition
Visions,1,1995,4th Edition
Stone Giant,1,1995,4th Edition
Hill Giant,1,1995,4th Edition
Firebreathing,1,1995,4th Edition
Unholy Strength,2,1995,4th Edition
Tundra Wolves,2,1995,4th Edition
Scathe Zombies,2,1995,4th Edition
Wall of Stone,2,1995,4th Edition
Orcish Oriflamme,2,1995,4th Edition
Karma,2,1995,4th Edition
Ivory Cup,2,1995,4th Edition
Wall of Bone,2,1995,4th Edition
Fog,2,1995,4th Edition
Pearled Unicorn,3,1995,4th Edition
Erosion,3,1995,4th Edition
Bog Imp,3,1995,4th Edition
Giant Tortoise,3,1995,4th Edition
Pikemen,3,1995,4th Edition
Wild Growth,3,1995,4th Edition
Fissure,3,1995,4th Edition
Paralyze,3,1995,4th Edition
Seeker,3,1995,4th Edition
Indestructible Aura,4,1995,Legends
Remove Soul,4,1995,Legends
Shield Wall,4,1995,Legends
Boomerang,4,1995,Legends
Axelrod Gunnarson,4,1995,Legends
War Elephant,4,1995,Arabian Nights
Metamorphosis,4,1995,Arabian Nights
Circle of Protection: Red,4,1995,4th Edition
Merfolk of the Pearl Trident,4,1995,4th Edition
Bog Rats,5,1995,The Dark
Goblin Shrine,5,1995,The Dark
Scavenger Folk,5,1995,The Dark
Dance of Many,5,1995,The Dark
Living Armor,5,1995,The Dark
Grapeshot Catapult,5,1995,4th Edition
Venom,5,1995,4th Edition
War Mammoth,5,1995,4th Edition
Gray Ogre,5,1995,4th Edition
Amulet of Kroog,6,1995,4th Edition
Scryb Sprites,6,1995,4th Edition
Creature Bond,6,1995,4th Edition
Marsh Gas,6,1995,4th Edition
Dwarven Warriors,6,1995,4th Edition
Stone Rain,7,1997,5th Edition
Circle of Protection: White,7,1997,5th Edition
Reef Pirates,7,1997,5th Edition
Circle of Protection: White,7,1997,5th Edition
Cloak of Confusion,7,1997,5th Edition
Cloak of Confusion,7,1997,5th Edition
Aurochs,7,1997,5th Edition
Goblin Digging Team,7,1997,5th Edition
Healing Salve,7,1997,5th Edition
Giant Strength,8,1997,5th Edition
Homarid Warrior,8,1997,5th Edition
Torture,8,1997,5th Edition
Repentant Blacksmith,8,1997,5th Edition
Dark Ritual,8,1997,5th Edition
Zephyr Falcon,8,1997,5th Edition
Dragon Engine,8,1997,5th Edition
Marsh Viper,8,1997,5th Edition
Wind Spirit,8,1997,5th Edition
Orcish Artillery,9,1997,5th Edition
Shapeshifter,9,1997,5th Edition
Clay Statue,9,1997,5th Edition
Benalish Hero,9,1997,5th Edition
Brothers of Fire,9,1997,5th Edition
Ray of Command,9,1997,5th Edition
Blood Lust,9,1997,5th Edition
Touch of Death,9,1997,5th Edition
Regeneration,9,1997,5th Edition
Dragon Engine,10,1997,5th Edition
Breeding Pit,10,1997,5th Edition
Killer Bees,10,1997,5th Edition
Reverse Damage,10,1997,5th Edition
Feldon's Cane,10,1997,5th Edition
Thelonite Druid,11,1994,Fallen Empires
Path of Peace,11,1997,Portal
Childhood Horror,11,1993-2001,Odyssey
Karplusan Yeti,12,1995,Ice Age
Illusions of Grandeur,12,1995,Ice Age
Magus of the Unseen,12,1995,Ice Age
Phantasmal Mount,12,1995,Ice Age
Ashen Ghoul,12,1995,Ice Age
Skull Catapult,12,1995,Ice Age
Drift of the Dead,12,1995,Ice Age
Order of the White Shield,12,1995,Ice Age
Sunstone,12,1995,Ice Age
Soul Burn,13,1995,Ice Age
Krovikan Sorcerer,13,1995,Ice Age
Wild Growth,13,1995,Ice Age
Chub Toad,13,1995,Ice Age
Foul Familiar,13,1995,Ice Age
Touch of Death,13,1995,Ice Age
Brainstorm,13,1995,Ice Age
Foxfire,13,1995,Ice Age
Fear,13,1995,Ice Age
Blue Scarab,14,1995,Ice Age
Hallowed Ground,14,1995,Ice Age
Thoughtleech,14,1995,Ice Age
Folk of the Pines,14,1995,Ice Age
Stonehands,14,1995,Ice Age
Shambling Strider,14,1995,Ice Age
Illusionary Wall,14,1995,Ice Age
Circle of Protection: Red,14,1995,Ice Age
Circle of Protection: Black,14,1995,Ice Age
Lim-Dul's Cohort,15,1995,Ice Age
Kjeldoran Warrior,15,1995,Ice Age
Pyroblast,15,1995,Ice Age
Hydroblast,15,1995,Ice Age
Fyndhorn Brownie,15,1995,Ice Age
Orcish Lumberjack,15,1995,Ice Age
Cold Snap,15,1995,Ice Age
Adarkar Sentinel,15,1995,Ice Age
Howl from Beyond,15,1995,Ice Age
Earthlore,16,1995,Ice Age
Goblin Ski Patrol,16,1995,Ice Age
Prismatic Ward,16,1995,Ice Age
Mountain Goat,16,1995,Ice Age
Clockwork Swarm,17,1995,Homelands
Dry Spell,17,1995,Homelands
Dwarven Trader,17,1995,Homelands
